id,itjobs_slug,linkedin_slug,landing_slug,teamlyzer_slug
1,primeit-consulting,primeit-consulting-sa,,prime-it
2,farfetch,farfetch.com,farfetch,farfetch
3,altran,altran,,altran-portugal
4,aubay,aubay-portugal,,aubay
5,bold-international,boldbydevoteam,,bold-international
6,novabase,novabase,novabase,novabase
7,accenture,accenture-portugal,,accenture-portugal
8,talkdesk,talkdesk,talkdesk,talkdesk
9,agap2it,agap2it-portugal,,agap2-it-portugal
10,deloitte-portugal,deloitte,deloitte,deloitte-consultores
11,outsystems,outsystems,outsystems,outsystems
12,kcs-it,kcsit,,kcs-it
13,critical-software,critical-software,critical-software,critical-software
14,noesis-portugal-consultadoria-em-sistemas-de-informacao-sa,noesis-portugal,,noesis-portugal
15,bee-engineering,beeengineeringict,,bee-engineering-portugal
16,adentis,adentis-portugal,,adentis-portugal
17,everis,everis,everis,everis-portugal
18,mindera,mindera,mindera,mindera
19,feedzai,feedzai,feedzai,feedzai
20,blip,blip-pt,blip,blip
21,alter-solutions-portugal,altersolutionspt,,alter-solutions-portugal
22,smart-consulting,smart-consulting---delivering-it,,smart-consulting
23,siemens,siemens,siemens,siemens-portugal
24,microsoft-portugal,microsoft,,microsoft-portugal
25,affinity,affinity-portugal,,affinity
26,natixis-portugal,natixis-in-portugal,natixis,natixis
27,celfocus,celfocus,celfocus,celfocus
28,glintt-global-intelligent-technologies,glintt,,glintt
29,softinsa,softinsa,,softinsa
30,cleverti-tecnologias-e-inovacao,cleverti,cleverti,cleverti
31,cgi-ti-portugal,cgi,,cgi-ti-portugal
32,bnp-paribas,bnp-paribas,bnp-paribas,banco-bnp-paribas
33,findmore,findmore-consulting,,findmore-consulting
34,integer-consulting,integer-consulting,,integer-consulting
35,mercedes-benz-io,mercedes-benz.io,,mercedes-benz-io
36,itsector-sistemas-de-informacao-sa,itsector,,itsector
37,inetum,gfi-portugal,,gfi-portugal
38,equal-experts,equal-experts,equal-experts,equal-experts-portugal
39,red-it,redit,,red-it
40,kwan,kwan-love-respect-community,,kwan
41,olisipo,olisipo,,olisipo
42,prozis,prozis,prozis,prozis
43,xpand-it,xpand-it,xpand-it,xpand-it
44,innowave-technologies,innowave-technologies,,innowave-technologies
45,sky-technology-centre-portugal,skyportugal,sky-technology-centre-portugal,sky
46,timwetech,timwetech,timwetech,timwe
47,critical-techworks,criticaltechworks,critical-techworks,critical-techworks
48,capgemini-portugal,capgemini,capgemini,capgemini-portugal
49,wit-software,wit-software,,wit-software
50,syone-sbs-software,syone,,syone
51,nbcc-consulting,nbcc-consulting,,nbcc-consulting
52,fyld,fyld,,fyld
53,premium-minds,premium-minds,premium-minds,premium-minds
54,growin-know-to-grow,growin,,growin
55,nokia,nokia,,nokia-networks-portugal
56,unbabel,unbabel,unbabel,unbabel
57,360imprimir,360imprimir,360imprimir,360-imprimir
58,gatewit,gatewit,,gatewit
59,bosch-portugal,bosch-portugal,bosch,bosch
60,kpmg,kpmg-portugal,kpmg,kpmg-portugal
61,onrising-portugal,onrising,,onrising
62,,mckinsey,,mckinsey-company
63,edp-electricidade-de-portugal-sa,edp,edp,edp-electricidade-de-portugal
64,closer,closer,,closer-consulting
65,decskill,decskill,,decskill
66,sysmatch-consultores-de-sistemas-de-informacao,sysmatch,,sysmatch
67,banco-atlantico-europa,altanticoeuropa,,banco-privado-atlantico-europa
68,,olx-group,olx-group,olx-group
69,icreate-consulting,icreate-consulting,,icreate
70,roff,roff,roff,roff
71,multivision,multivision---consultoria-em-telecomunica-es-e-inform-tica-lda-,multivision,multivision
72,aptoide,aptoide,aptoide,aptoide
73,indra-sistemas-portugal,indra,,indra
74,pdmfc,pdmfc,,pdmfc
75,dellent-consulting,dellent-consulting,,dellent-consulting
76,axians,axianspt,,axians-portugal
77,axians-consulting,axianspt,,axians-portugal
78,mind-source,mind-source,,mind-source
79,vodafone-portugal,vodafone,,vodafone
80,critical-manufacturing-sa,critical-manufacturing,,critical-manufacturing
81,winprovit-solucoes-inteligentes,winprovit,,winprovit
82,it-people-innovation,it-people-consulting,,it-people-innovation
83,miniclip,miniclip,miniclip,miniclip-games
84,amaris,amaris,,amaris
85,claranet,claranetportugal,claranet,claranet-portugal
86,,visualnuts,,visual-nuts
87,bliss-aplications,bliss-applications,bliss-applications,bliss-applications
88,altice-portugal,altice-labs,,alticelabs
89,atos-it-solutions-and-services,atos,,atos
90,,banco-de-portugal,,banco-de-portugal
91,,volkswagen-digital-solutions,volkswagen-digital-solutions,volkswagen-digital-solutions
92,jumia-porto-tech-center,porto-tech-center,porto-tech-center-africa-internet-group,jumia-porto-tech-center
93,,deloitte-digital,,deloitte-digital
94,pipedrive,pipedrive,pipedrive,pipedrive
95,vtxrm-software-factory,vtxrm,,vtxrm
96,sap-portugal,sap,,sap-portugal
97,efacec-sistemas-de-electronica-sa,efacec,,efacec
98,link-consulting,link-consulting,link-consulting,link-consulting
99,infosistema-sistemas-de-informacao,infosistema,,infosistema
100,edge-portugal,edge-innovation,,edge-innovation
101,sonae-bit,bit-sonae,bit-by-sonae-mc,sonae-bit
102,euronext,euronext,,euronext-s-technology-centre-portugal
103,askblue,askblue,,askblue
104,randstad-portugal,randstad-portugal,,randstad-technologies-portugal
105,i2s,i2s,i2s-informatica-sistemas-e-servicos,i2s
106,rupeal,rupeal,,rupeal
107,zaask,zaask,zaask-ea60b753-a81d-4640-809e-f1fe3382e12e,zaask
108,codeone,codeone-lda,,codeone
109,vortal,vortal,vortal,vortal
110,the-virtual-forge,the-virtual-forge,the-virtual-forge-73007434-ba3e-4c44-97ad-1feeb0e72529,the-virtual-forge-portugal
111,elevus-lisboa,elevus-lisboa,,elevus
112,primavera-business-software-solutions-sa,primaverabss,primavera-bss,primavera-bss
113,nex-t-engineering,nxt-engineering,,next-engineering
114,michael-page-international-portugal,michael-page,,michael-page-portugal
115,pixelmatters,pixelmatters,,pixelmatters
116,fabamaq-sistemas-informaticos,fabamaq,,fabamaq
117,match-profiler,matchprofiler,,match-profiler
118,teleperformance-portugal,teleperformance,teleperformance,teleperformance-portugal
119,grupo-visabeira,grupo-visabeira,,grupo-visabeira
120,withus,withus,,withus
121,bring-global,bring-global,,bring-global
122,pwc-portugal,pwc-portugal,pwc,pwc
123,bi4all-consultores-de-gestao,bi4all,,bi4all
124,qibit-portugal,qibit-portugal,,qibit
125,truphone,truphone,truphone,truphone
126,,ernstandyoung,ey,ey
127,armis-sistemas-de-informacao,armis,,armis
128,7egend,7egend,,7egend
129,frotcom-international,frotcom-international,frotcom-international,frotcom-internacional
130,phc-software,phc-software,phc-software,phc-software
131,babel-sistemas-de-informacao,babel,babel,babel-sistemas-de-informacao
132,uniplaces,uniplaces,uniplaces-f0e0d4ff-1a99-4ba6-8f66-e4d87c54939d,uniplaces
133,runtime-revolution,runtime-revolution,runtime-revolution,runtime-revolution
134,timestamp-sistemas-de-informacao-sa,timestampgroup,,timestamp
135,alert-life-sciences-computing-sa,alert-life-sciences-computing-s.a.,,alert-life-sciences-computing
136,ibm-portugal,ibm,,ibm-portugal
137,fraunhofer-portugal,fraunhofer-portugal,,fraunhofer-portugal
138,caixa-geral-de-depositos,caixageraldedepositos,cgd,banco-caixa-geral-de-depositos
139,quidgest,quidgest,,quidgest
140,integrity-consulting-advisory,integrity-s.a.,,integrity
141,adquam-human-capital,adquam,,adquam-human-capital
142,nos-comunicacoes,nos-sgps,,nos
143,opensoft-solucoes-informaticas-sa,opensoft,opensoft,opensoft
144,ebankit-omnichannel-innovation,ebankit,,ebankit
145,marionete,marionete,,marionete
146,habber-tec,habber-tec-portugal,,habber-tec-portugal
147,readiness-it,readinessit,,readiness-it
148,definedcrowd,definedcrowd,definedcrowd,definedcrowd
149,hccm-consulting,hccmconsulting-company,,hccm-consulting
150,ubiwhere,ubiwhere,,ubiwhere
